label,type,caption,alt_text
agecomp-fleet1,figure,,"Bubble plot showing an average observed age around 10 years old with some diagonal patterns associated with large cohorts in the 1980s and more old fish in the most recent 10 years."
agecomp-fleet2,figure,,"Similar bubble plot to the bottom trawl fishery above except with fewer old fish in the years 2022 to 2024."
agecomp-fleet3,figure,,"Similar bubble plot to the midwater fishery above."
disc-hnl-comparison,figure,,"Bubble plot showing very different distributions of lengths and years covered between the two data sets."
wl-fits,figure,,"Two-panel comparison of female and male weight-at-length fits from prior and current assessments, with points showing observations and dashed lines showing fitted relationships. The fitted relationships are almost identical between assessments."
n-at-age,figure,,"Counts at age for female and male widow rockfish compiled across all age data sources, showing a mode for both sexes at age 6."
disc-hnl-update-ssb,figure,,"Time series declines to low point around 2000 for data updates, but final years differ with the HKL discards added for 2018 to 2023 showing a very high estimate of the spawning output in the last 5 years."
disc-hnl-update-depl,figure,,"Similar time series to previous plot in the scale of fraction unfished."
disc-hnl-update-rec,figure,,"Bridging time series of recruitment showing strong influence of treatment of hook-and-line discard treatment on recruitment in some recent years."
bridge2019-data,figure,,"Spawning biomass trajectories show that updating other data sources had relatively small impacts on the time series compared to the treatment of hook-and-line discards."
bridge2019-bratio,figure,,"Similar patterns to the previous plot but in the scale of fraction unfished, showing that the hook-and-line discard treatment had a large influence on the estimated fraction unfished trajectory."
bridge2-smrybio,figure,,"Age 4-plus biomass trajectories comparing bridging runs from the August 2025 model to the base model show similar patterns among models."
bridge2-bratio,figure,,"Relative spawning biomass trajectories show similar patterns among models with base model ending slightly below the fraction unfished of the August 2025 model."
bridge2-rec,figure,,"Recruitment trajectories show slightly higher recruitment in the models with updating data weighting, including the base model."
fecundity,figure,,"Fecundity-at-length curves show stronger dependence of spawning output on larger fish under fecundity-based relationships."
base_19_25_bratio,figure,,"Comparison of fraction unfished trajectories and 95 percent intervals between 2019 and 2025 base models show similar trends and uncertainty until around 2017 when the base model starts a steady decline but the 2019 model extended upwards."
base_19_25_smry,figure,,"Comparison of age-4-plus trajectories show the scale of the 2025 base model is slightly below that of the 2019 assessment and also declines from about 2017 onward instead of continuing to increase."
base_19_25_recr,figure,,"Recruitment comparisons show that the 2019 assessment had a much higher estimate of recruitment in 2013 while the 2016 recruitment is higher in the 2025 base model (though still about half as high as the 2019 estimate of 2016 recruitment)."
base_19_25_recdevs,figure,,"Comparison of log recruitment deviation estimates with 95 percent intervals show that the intervals for the 2016 recruitment are not overlapping indicating how significant the change in estimates have been."
NatMort,figure,,"Figure shows biggest changes in estimates of M associated with updating the age composition (which led to lower M) and updating the weighting, which increased it somewhat, though base model estimates are still below 2019 and 2015 estimates. In all cases, the M estimates for males is higher than females, and both values are higher than the prior."
est-select-all,figure,,"Estimated selectivity curves showing increasing probability of capture by length with the hake fleet peaks at the smallest size among the fleets, while the WCGBTS peaks latest. The midwater trawl estimate is strongly dome-shaped while the others are completely or mostly asymptotic."
est-select-3478,figure,,"Time-block-specific selectivity curves for bottom trawl, midwater trawl, and hake fleets show the largest changes for the midwater fleet which was estimated as more asymptotic in the period of low catches from 2002 to 2016 but strongly dome-shaped before and after that interval."
sizeatage-sdcv,figure,,"Length-at-age relationship with estimated variability, showing that the CV of length at age is larger for smaller fish but the standard deviation is relatively constant across ages after about age 5."
recdev-est,figure,,"Time series of recruitment deviations in the upper panel show very uncertain estimates close to 0 from around 1900 to about 1970 with well-informed deviations up to about 2020 and imprecise values in the most recent years. The lower panel shows the same pattern on the non-log scale. See Table 20 for recruitment estimates."
recfit-bias,figure,,"Recruitment bias-adjustment ramp comparison shows the recruitment bias adjustment is higher for the informed period from about 1970 to 2020."
surv-abundest,figure,,"Fits to all indices are reasonable, with the Juvenile Survey showing the largest variability among years which is not captured by the relatively smooth line showing the model fit. The 1980s show declines in observed and expected values for some indices, while the WCGBTS shows an increase in observed and expected values from 2003 to 2016 and then a decline in both observed and expected values from 2017 to 2024 (with the observed values showing much more variability than the expected values in the most recent years)."
lenage-pears-res-trawl,figure,,"Pearson residual bubble plots show few strong patterns although there are occasional blobs of larger residuals for males or females spanning a few ages and a few years."
comp-lenfit-aggreg,figure,,"Aggregated length frequency data show generally good fits for all fleets with the exceptions of the Triennial lengths, which show a lot of noise, and the unsexed samples from the bottom trawl fleet where the observed values have a narrower distribution."
comp-lenfit-trien,figure,,"Pearson residuals are small for both bottom trawl surveys."
combine-agefreq-all,figure,,"Aggregated age frequencies show good fits to age comps for all fleets. The observed modes are slightly more peaked than the estimated for males in all fleets, but the modes for females are very well matched."
condAAL-andreplot,figure,,"Complex plot from Andre Punt which is very difficult to interpret or describe but can be very helpful to confirm that the fit to the conditional age-at-length data is reasonable."
condAAL-resids,figure,,"Residuals for conditional age-at-length fits show relatively few large residuals. In the most recent years, the observed ages are older than expected for both females and males."
spawnout-95,figure,,"Similar time series to previous time series plots. See Table 20 for values."
summary-bio,figure,,"Similar time series to previous time series plots. See Table 20 for values."
rel-spawn-bio,figure,,"Similar time series to previous time series plots. See Table 20 for values."
SR-curve,figure,,"Stock-recruit curve is mostly flat over the range of estimated spawning output."
pred-one-SPR,figure,,"Time series of summary fishing mortality shows similar pattern to catch time series in previous plots, but F around 1980s is not as different as the catch because the abundance was higher at that time. F values in the recent years are slightly lower than the 1980s and 1990s in spite of similar catches because the abundance is estimated to be higher in recent years."
relative-one-SPR,figure,,"Phase plot shows counter-clockwise spiral with final point in the upper-right quadrant indicating that the stock is currently above the SPR target but above the target fraction unfished. Uncertainty is strongly negatively correlated such that lower fraction unfished is associated with higher relative fishing intensity."
spawnbio-sens-uncrt,figure,,"Sensitivity comparison of spawning output shows the biggest changes when natural mortality is fixed at higher or lower values than the base model."
depl-sens,figure,,"Patterns of fraction of unfished show similar patterns to previous plot, with only the M = 0.1 case falling below the 0.25 and 0.4 reference points in 2025."
rec-sens,figure,,"Spiky line plot showing that the scale of recruitment is strongly linked to natural mortality."
recdevs-sens,figure,,"Recruitment deviations show similar patterns except for the M = 0.1 case where  recruitment is below average from 1920 to 1965 suggesting that the model is using the uninformed period of recruitment to create out-of-equilibrium conditions in order to have the main time series better fit the data that are not consistent with this low M value."
retros,figure,,"Ten-year retrospective analysis shows very similar lines for each year of data removal with the recent recruitments closer to the long-term mean as the data are removed."
retros-squid,figure,,"Retrospective cohort lines of recruitment deviations show that below average recruitments are relatively well estimated by about age 5, but estimates of above average cohorts continue to evolve even after being observed up through age 10."
ssb-historical,figure,,"Similar lines for each assessment with different end points shows that the current assessments indicate the stock was below the 0.25 reference point in the 1990s compared to many other recent assessments which show the low point between 0.3 and 0.4."
like_profile_Rzero,figure,,"U-shaped profile curves showing R0 estimate is a balance of recruitment likelihood which is better fit at high R0 and the composition likelihoods which are better fit at lower R0. Index likelihoods are best fit at values close to the base model estimate. Patterns among fleets are inconsistent."
like_profile_Steepness,figure,,"Steepness profile shows best fit at high steepness values for all data types except length compositions. Patterns among fleets are consistent with better fit to age comps at high h for all fleets except bottom trawl and better fit to length comps at low h for all fleets."
like_profile_MF,figure,,"U-shaped profile curves indicate that recruitment and age data are the most significant contributors to the total likelihood with the age data supporting a lower M. Among fleets, the WCGBTS is best fit at the lowest M values (below 0.1) while the bottom trawl fleet is best fit around M = 0.16."
like_profile_MM,figure,,"Very similar patterns to the profiles over female M in the previous plot."
like_profile_recruits,figure,,"Recruitment deviations show that early, poorly-informed, recruitment deviations are influenced the most by alternative values for M."
est-eqi-yield,figure,,"Equilibrium yield curve and associated reference points show equilibrium yield is somewhat lower at the biomass target and the SPR targets than at MSY, but in all cases, the estimated yield is between 5000 and 7000 metric tons."
dec-table-plot,figure,,"Time series lines with uncertainty intervals show the low state ending below 0.25, the base model around 0.5, and the high state ending around 0.6."
vulnerable-bio,figure,,"Estimated vulnerable biomass by fleet shows that the differences in selectivity lead to much higher or lower estimates of the vulnerable biomass, with different trends associated with selecting different subsets of the population."
age-structure-2027,figure,,"Barplot shows the 2027 estimates have a big spike at age 11, but values well below the equilibrium for ages 7 to 9."
